eps	abs_m	Cv	chi
-1.73419	0.805728	0.00768025	0.00266163
-1.7342	0.805678	0.00766523	0.00265672
-1.73424	0.805647	0.00765069	0.00265164
-1.73415	0.805675	0.00763954	0.00264655
-1.73412	0.805684	0.00762501	0.00264139
-1.73421	0.805828	0.00761424	0.00263892
-1.73436	0.805973	0.00761058	0.00263646
-1.73429	0.805961	0.00759809	0.00263136
-1.7344	0.806047	0.00758937	0.0026272
-1.73435	0.806093	0.00757584	0.00262239
-1.73427	0.80612	0.007565	0.00261742
-1.73426	0.806204	0.00755046	0.00261331
-1.7345	0.806423	0.00756629	0.00261449
-1.73476	0.806641	0.00758694	0.00261565
-1.73504	0.806877	0.00761274	0.00261792
-1.73509	0.806941	0.00759937	0.00261343
-1.73511	0.807023	0.00758529	0.00260933
-1.73518	0.807143	0.00757316	0.00260624
-1.73534	0.8073	0.00757241	0.00260455
-1.73546	0.807476	0.00756596	0.00260367
-1.73553	0.807576	0.00755389	0.00260005
-1.73575	0.807788	0.00756433	0.00260109
-1.73574	0.807849	0.00755012	0.00259667
-1.73563	0.807797	0.00754174	0.00259215
-1.73568	0.80782	0.00752868	0.00258735
-1.7357	0.807861	0.00751494	0.00258272
-1.73571	0.807884	0.0075009	0.00257795
-1.73578	0.807888	0.00748907	0.00257314
-1.73588	0.807929	0.00748057	0.00256856
-1.7359	0.807989	0.00746701	0.00256426
-1.73593	0.808086	0.0074535	0.00256075
-1.73612	0.808275	0.00745973	0.0025608
-1.73637	0.808481	0.00747905	0.00256183
-1.73664	0.808669	0.00750329	0.00256185
-1.73677	0.808801	0.00749935	0.00255947
-1.73687	0.808895	0.00749075	0.00255596
-1.73693	0.809007	0.007479	0.00255297
-1.73684	0.809028	0.00746931	0.00254834
-1.73685	0.809084	0.00745564	0.00254411
-1.73682	0.809141	0.00744253	0.0025399
-1.73677	0.809179	0.00743026	0.00253546
-1.73668	0.809217	0.0074207	0.00253104
-1.73662	0.809255	0.00740965	0.00252663
-1.73661	0.809328	0.00739629	0.0025228
-1.73654	0.80933	0.00738531	0.00251823
-1.73644	0.809277	0.00737773	0.00251406
-1.73614	0.809079	0.00741432	0.00251491
-1.73607	0.809063	0.00740331	0.00251041
-1.73624	0.809245	0.00740583	0.00251047
-1.73645	0.809408	0.00741573	0.00250965
-1.73665	0.809606	0.00742551	0.00251062
-1.73676	0.80975	0.00741939	0.00250902
-1.73693	0.809929	0.00742164	0.00250902
-1.73697	0.810036	0.00740936	0.00250615
-1.73698	0.810089	0.00739619	0.00250209
-1.73702	0.810124	0.00738399	0.00249782
-1.73688	0.810035	0.0073814	0.0024945
-1.73673	0.809912	0.00738167	0.00249225
-1.73652	0.80977	0.00739266	0.00249067
-1.73614	0.809506	0.00746215	0.00249615
-1.73592	0.809331	0.00747698	0.0024961
-1.73561	0.809016	0.00751813	0.00250582
-1.73533	0.808456	0.00754735	0.00254598
-1.73492	0.807968	0.00763095	0.00257541
-1.73453	0.807483	0.0077059	0.00260462
-1.73407	0.807068	0.00781436	0.00262464
-1.73362	0.80662	0.007913	0.0026488
-1.73313	0.806087	0.0080389	0.002685
-1.73288	0.805747	0.00806044	0.002697
-1.73274	0.805442	0.00805836	0.00270568
-1.73256	0.805156	0.00806265	0.00271282
-1.73264	0.805164	0.0080526	0.00270814
-1.73286	0.80531	0.00806664	0.00270657
-1.73293	0.805353	0.00805512	0.00270217
-1.73294	0.805395	0.00804137	0.00269779
-1.73292	0.805369	0.00802786	0.00269327
-1.73298	0.805497	0.00801647	0.00269103
-1.73308	0.805624	0.00800831	0.0026888
-1.73324	0.805768	0.00801065	0.00268725
-1.73332	0.805894	0.00800072	0.00268501
-1.73347	0.806054	0.00799987	0.0026842
-1.73353	0.806146	0.00798855	0.00268088
-1.73363	0.806288	0.0079804	0.00267931
-1.73387	0.806514	0.00800309	0.00268233
-1.73407	0.806706	0.00801231	0.00268323
-1.7343	0.806914	0.00802991	0.0026851
-1.73446	0.807088	0.00803178	0.00268504
-1.73471	0.807294	0.00805382	0.00268687
-1.73482	0.807433	0.00804745	0.00268522
-1.73491	0.807571	0.00803906	0.00268358
-1.73503	0.807726	0.00803503	0.00268265
-1.73519	0.80788	0.00803665	0.00268172
-1.73535	0.80805	0.00803821	0.00268159
-1.73554	0.808236	0.00804667	0.00268233
-1.73553	0.808239	0.00803336	0.00267788
-1.73557	0.808325	0.00802102	0.00267455
-1.73561	0.808411	0.00800873	0.00267122
-1.73547	0.808331	0.00800759	0.00266777
-1.73528	0.808168	0.00801634	0.00266735
-1.73527	0.808204	0.00800318	0.00266316
-1.73533	0.808257	0.007992	0.00265919
