eps	abs_m	Cv	chi
-1.25158	0.105661	0.00426202	0.0279292
-1.25174	0.105162	0.00425403	0.0278757
-1.25189	0.104273	0.00424607	0.0278469
-1.25152	0.103779	0.00424675	0.0277938
-1.2512	0.103126	0.00424496	0.0277491
-1.25099	0.102638	0.00423853	0.0276963
-1.25046	0.102426	0.00424998	0.027635
-1.25041	0.101735	0.00424044	0.0275936
-1.25057	0.101139	0.00423269	0.0275469
-1.25045	0.100568	0.00422408	0.0274992
-1.25029	0.100068	0.00421645	0.0274483
-1.25036	0.0993213	0.00420726	0.0274119
-1.25036	0.0985102	0.00419776	0.0273803
-1.25034	0.0975676	0.00418835	0.0273596
-1.25029	0.0968315	0.0041791	0.0273232
-1.25011	0.0962556	0.00417223	0.0272773
-1.25004	0.0958166	0.00416325	0.0272252
-1.24998	0.0951339	0.0041543	0.0271861
-1.25002	0.0942762	0.00414521	0.0271599
-1.24989	0.0936444	0.00413738	0.0271182
-1.24984	0.0930155	0.00412836	0.0270767
-1.24965	0.0927655	0.00412232	0.0270197
-1.24923	0.0927373	0.00412697	0.0269601
-1.2491	0.0926652	0.00411922	0.0269009
-1.24895	0.0923077	0.00411199	0.0268479
-1.24882	0.0923246	0.00410429	0.026789
-1.24842	0.0924508	0.00410743	0.0267311
-1.24777	0.0927293	0.00413214	0.0266765
-1.24697	0.0935294	0.00417419	0.0266489
-1.2465	0.0941739	0.00418284	0.0266108
-1.24594	0.0949024	0.00419849	0.0265785
-1.24543	0.0956926	0.00421028	0.026551
-1.24484	0.0965227	0.00422957	0.0265268
-1.24414	0.0975647	0.00425985	0.026522
-1.24329	0.0987312	0.00430857	0.0265307
-1.24268	0.099485	0.00432916	0.0265013
-1.24212	0.100171	0.00434548	0.0264674
-1.24175	0.100726	0.00434716	0.0264259
-1.24136	0.101791	0.0043501	0.0264248
-1.24079	0.102383	0.00436798	0.0263857
-1.24015	0.103079	0.00439199	0.0263533
-1.24004	0.103453	0.00438361	0.0263044
